Date,RegionName,ZHVIPerSqft_AllHomes
1996-04-30,23031,77.56974792480469
1996-05-31,23031,77.56974792480469
1996-06-30,23031,77.56974792480469
1996-07-31,23031,77.80386352539062
1996-08-31,23031,78.28276062011719
1996-09-30,23031,78.28276062011719
1996-10-31,23031,78.28276062011719
1996-11-30,23031,78.28276062011719
1996-12-31,23031,78.28276062011719
1997-01-31,23031,78.52144622802734
1997-02-28,23031,79.00628662109375
1997-03-31,23031,79.24951171875
1997-04-30,23031,79.74024200439453
1997-05-31,23031,79.74024200439453
1997-06-30,23031,79.98797607421875
1997-07-31,23031,80.48454284667969
1997-08-31,23031,80.48454284667969
1997-09-30,23031,80.73674774169922
1997-10-31,23031,81.4957275390625
1997-11-30,23031,82.26481628417969
1997-12-31,23031,82.77850341796875
1998-01-31,23031,83.04389953613281
1998-02-28,23031,84.10452270507812
1998-03-31,23031,85.72005462646484
1998-04-30,23031,87.08506774902344
1998-05-31,23031,87.63099670410156
1998-06-30,23031,87.92155456542969
1998-07-31,23031,88.4725570678711
1998-08-31,23031,88.4725570678711
1998-09-30,23031,88.76712036132812
1998-10-31,23031,89.3231201171875
1998-11-30,23031,89.62163543701172
1998-12-31,23031,90.48493957519531
1999-01-31,23031,91.664794921875
1999-02-28,23031,93.44131469726562
1999-03-31,23031,95.57410430908203
1999-04-30,23031,97.6881103515625
1999-05-31,23031,99.29609680175781
1999-06-30,23031,102.16072082519531
1999-07-31,23031,105.08218383789062
1999-08-31,23031,107.69252014160156
1999-09-30,23031,109.69557189941406
1999-10-31,23031,112.08949279785156
1999-11-30,23031,115.9188232421875
1999-12-31,23031,119.96455383300781
2000-01-31,23031,121.66911315917969
2000-02-29,23031,122.32856750488281
2000-03-31,23031,121.93971252441406
2000-04-30,23031,121.66911315917969
2000-05-31,23031,123.10784149169922
2000-06-30,23031,124.82208251953125
2000-07-31,23031,126.66431427001953
2000-08-31,23031,130.63812255859375
2000-09-30,23031,134.7602081298828
2000-10-31,23031,134.884765625
2000-11-30,23031,132.10057067871094
2000-12-31,23031,130.77490234375
2001-01-31,23031,131.5706024169922
2001-02-28,23031,132.89817810058594
2001-03-31,23031,133.69662475585938
2001-04-30,23031,135.82394409179688
2001-05-31,23031,138.35260009765625
2001-06-30,23031,141.54161071777344
2001-07-31,23031,143.5162353515625
2001-08-31,23031,143.91864013671875
2001-09-30,23031,146.18374633789062
2001-10-31,23031,150.80274963378906
2001-11-30,23031,155.2301788330078
2001-12-31,23031,159.13731384277344
2002-01-31,23031,163.07492065429688
2002-02-28,23031,165.10751342773438
2002-03-31,23031,166.34043884277344
2002-04-30,23031,165.9464111328125
2002-05-31,23031,165.3306121826172
2002-06-30,23031,165.7250213623047
2002-07-31,23031,167.52041625976562
2002-08-31,23031,169.7416229248047
2002-09-30,23031,170.73733520507812
2002-10-31,23031,170.55918884277344
2002-11-30,23031,169.35025024414062
2002-12-31,23031,169.7416229248047
2003-01-31,23031,171.12753295898438
2003-02-28,23031,173.4949493408203
2003-03-31,23031,176.434326171875
2003-04-30,23031,179.72271728515625
2003-05-31,23031,182.40367126464844
2003-06-30,23031,182.97256469726562
2003-07-31,23031,182.59335327148438
2003-08-31,23031,182.02392578125
2003-09-30,23031,182.40367126464844
2003-10-31,23031,184.10775756835938
2003-11-30,23031,187.2963104248047
2003-12-31,23031,189.50418090820312
2004-01-31,23031,189.50418090820312
2004-02-29,23031,189.8760986328125
2004-03-31,23031,190.79249572753906
2004-04-30,23031,191.33505249023438
2004-05-31,23031,191.33505249023438
2004-06-30,23031,191.33505249023438
2004-07-31,23031,192.07443237304688
2004-08-31,23031,193.150146484375
2004-09-30,23031,193.51805114746094
2004-10-31,23031,194.78518676757812
2004-11-30,23031,197.30043029785156
2004-12-31,23031,200.46092224121094
2005-01-31,23031,202.70620727539062
2005-02-28,23031,203.35606384277344
2005-03-31,23031,202.4961700439453
2005-04-30,23031,201.99075317382812
2005-05-31,23031,201.99075317382812
2005-06-30,23031,202.34866333007812
2005-07-31,23031,202.85350036621094
2005-08-31,23031,202.4961700439453
2005-09-30,23031,201.27371215820312
2005-10-31,23031,199.89340209960938
2005-11-30,23031,199.01809692382812
2005-12-31,23031,198.501220703125
2006-01-31,23031,198.86312866210938
2006-02-28,23031,200.10079956054688
2006-03-31,23031,201.48306274414062
2006-04-30,23031,202.34866333007812
2006-05-31,23031,202.85350036621094
2006-06-30,23031,202.85350036621094
2006-07-31,23031,202.4961700439453
2006-08-31,23031,201.63241577148438
2006-09-30,23031,201.48306274414062
2006-10-31,23031,201.27371215820312
2006-11-30,23031,199.1715850830078
2006-12-31,23031,196.89215087890625
2007-01-31,23031,195.47802734375
2007-02-28,23031,195.3154296875
2007-03-31,23031,196.2082061767578
2007-04-30,23031,197.09707641601562
2007-05-31,23031,197.61917114257812
2007-06-30,23031,197.61917114257812
2007-07-31,23031,197.61917114257812
2007-08-31,23031,197.9820556640625
2007-09-30,23031,199.224609375
2007-10-31,23031,200.25372314453125
2007-11-30,23031,199.89340209960938
2007-12-31,23031,198.29428100585938
2008-01-31,23031,195.63905334472656
2008-02-29,23031,193.3167724609375
2008-03-31,23031,191.875244140625
2008-04-30,23031,190.9647216796875
2008-05-31,23031,190.4215850830078
2008-06-30,23031,189.67849731445312
2008-07-31,23031,187.83578491210938
2008-08-31,23031,185.97735595703125
2008-09-30,23031,184.10330200195312
2008-10-31,23031,182.21368408203125
2008-11-30,23031,180.3086700439453
2008-12-31,23031,178.7718505859375
2009-01-31,23031,177.42259216308594
