Date,RegionName,ZHVIPerSqft_AllHomes
1996-04-30,34029,75.39122772216797
1996-05-31,34029,75.14280700683594
1996-06-30,34029,74.64978790283203
1996-07-31,34029,74.64978790283203
1996-08-31,34029,74.64978790283203
1996-09-30,34029,74.64978790283203
1996-10-31,34029,74.89564514160156
1996-11-30,34029,75.14280700683594
1996-12-31,34029,74.64978790283203
1997-01-31,34029,74.89564514160156
1997-02-28,34029,75.39122772216797
1997-03-31,34029,75.64179992675781
1997-04-30,34029,76.14354705810547
1997-05-31,34029,76.14354705810547
1997-06-30,34029,76.14354705810547
1997-07-31,34029,76.14354705810547
1997-08-31,34029,75.89042663574219
1997-09-30,34029,75.39122772216797
1997-10-31,34029,75.64179992675781
1997-11-30,34029,76.14354705810547
1997-12-31,34029,76.39878845214844
1998-01-31,34029,76.90663146972656
1998-02-28,34029,77.16650390625
1998-03-31,34029,77.68036651611328
1998-04-30,34029,77.68036651611328
1998-05-31,34029,77.68036651611328
1998-06-30,34029,77.68036651611328
1998-07-31,34029,77.68036651611328
1998-08-31,34029,77.94482421875
1998-09-30,34029,78.46463012695312
1998-10-31,34029,78.46463012695312
1998-11-30,34029,78.7336196899414
1998-12-31,34029,79.25929260253906
1999-01-31,34029,79.53276824951172
1999-02-28,34029,80.06422424316406
1999-03-31,34029,80.06422424316406
1999-04-30,34029,80.34211730957031
1999-05-31,34029,81.16154479980469
1999-06-30,34029,81.70430755615234
1999-07-31,34029,81.99088287353516
1999-08-31,34029,82.82998657226562
1999-09-30,34029,83.38368225097656
1999-10-31,34029,83.6786880493164
1999-11-30,34029,84.53682708740234
1999-12-31,34029,85.10106658935547
2000-01-31,34029,85.40422821044922
2000-02-29,34029,86.28071594238281
2000-03-31,34029,87.1661148071289
2000-04-30,34029,88.06022644042969
2000-05-31,34029,88.9628677368164
2000-06-30,34029,89.55158233642578
2000-07-31,34029,89.87384796142578
2000-08-31,34029,90.46710205078125
2000-09-30,34029,90.46710205078125
2000-10-31,34029,90.79295349121094
2000-11-30,34029,91.39064025878906
2000-12-31,34029,91.7199935913086
2001-01-31,34029,92.9889907836914
2001-02-28,34029,94.5466079711914
2001-03-31,34029,95.5032730102539
2001-04-30,34029,96.466796875
2001-05-31,34029,97.08842468261719
2001-06-30,34029,97.78675842285156
2001-07-31,34029,99.75172424316406
2001-08-31,34029,101.37959289550781
2001-09-30,34029,102.37960052490234
2001-10-31,34029,103.75035095214844
2001-11-30,34029,105.78033447265625
2001-12-31,34029,107.82830047607422
2002-01-31,34029,109.13751220703125
2002-02-28,34029,109.89241027832031
2002-03-31,34029,112.35265350341797
2002-04-30,34029,115.11140441894531
2002-05-31,34029,116.82965087890625
2002-06-30,34029,117.88487243652344
2002-07-31,34029,119.72294616699219
2002-08-31,34029,122.515625
2002-09-30,34029,124.64314270019531
2002-10-31,34029,126.77310943603516
2002-11-30,34029,128.90399169921875
2002-12-31,34029,131.03433227539062
2003-01-31,34029,133.1627655029297
2003-02-28,34029,135.2879638671875
2003-03-31,34029,137.01153564453125
2003-04-30,34029,138.46697998046875
2003-05-31,34029,140.5787353515625
2003-06-30,34029,142.6831512451172
2003-07-31,34029,144.3841552734375
2003-08-31,34029,145.82379150390625
2003-09-30,34029,147.90553283691406
2003-10-31,34029,149.97665405273438
2003-11-30,34029,151.6453857421875
2003-12-31,34029,152.67144775390625
2004-01-31,34029,154.08392333984375
2004-02-29,34029,156.11868286132812
2004-03-31,34029,157.75375366210938
2004-04-30,34029,159.14549255371094
2004-05-31,34029,161.14572143554688
2004-06-30,34029,163.13125610351562
2004-07-31,34029,165.1016845703125
2004-08-31,34029,167.43411254882812
2004-09-30,34029,170.33392333984375
2004-10-31,34029,172.82614135742188
2004-11-30,34029,175.0858154296875
2004-12-31,34029,177.52139282226562
2005-01-31,34029,179.73410034179688
2005-02-28,34029,182.11231994628906
2005-03-31,34029,183.9193115234375
2005-04-30,34029,185.70956420898438
2005-05-31,34029,187.48309326171875
2005-06-30,34029,189.24002075195312
2005-07-31,34029,190.98037719726562
2005-08-31,34029,192.35614013671875
2005-09-30,34029,193.2130584716797
2005-10-31,34029,194.06588745117188
2005-11-30,34029,195.2597198486328
2005-12-31,34029,196.60025024414062
2006-01-31,34029,197.4370574951172
2006-02-28,34029,197.92855834960938
2006-03-31,34029,197.92855834960938
2006-04-30,34029,197.92855834960938
2006-05-31,34029,198.26991271972656
2006-06-30,34029,198.75848388671875
2006-07-31,34029,198.75848388671875
2006-08-31,34029,198.75848388671875
2006-09-30,34029,198.41775512695312
2006-10-31,34029,197.24464416503906
2006-11-30,34029,195.91307067871094
2006-12-31,34029,195.4150390625
2007-01-31,34029,195.4150390625
2007-02-28,34029,195.07025146484375
2007-03-31,34029,194.56924438476562
2007-04-30,34029,194.56924438476562
2007-05-31,34029,193.87713623046875
2007-06-30,34029,192.86553955078125
2007-07-31,34029,192.517578125
2007-08-31,34029,191.3092041015625
2007-09-30,34029,189.9283447265625
2007-10-31,34029,189.05703735351562
2007-11-30,34029,188.18161010742188
2007-12-31,34029,187.30201721191406
2008-01-31,34029,186.41827392578125
2008-02-29,34029,185.53038024902344
2008-03-31,34029,184.63827514648438
2008-04-30,34029,183.74200439453125
2008-05-31,34029,182.84153747558594
2008-06-30,34029,181.5756378173828
2008-07-31,34029,180.114990234375
2008-08-31,34029,179.19773864746094
2008-09-30,34029,178.27630615234375
2008-10-31,34029,177.3507080078125
2008-11-30,34029,176.4208984375
2008-12-31,34029,175.4869384765625
2009-01-31,34029,174.54879760742188
