Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,34001,110.0,New Jersey,NJ
2017-12-31,34003,268.0,New Jersey,NJ
2017-12-31,34005,131.0,New Jersey,NJ
2017-12-31,34007,111.0,New Jersey,NJ
2017-12-31,34009,293.0,New Jersey,NJ
2017-12-31,34011,100.0,New Jersey,NJ
2017-12-31,34013,213.0,New Jersey,NJ
2017-12-31,34015,115.0,New Jersey,NJ
2017-12-31,34017,299.0,New Jersey,NJ
2017-12-31,34019,179.0,New Jersey,NJ
2017-12-31,34021,156.0,New Jersey,NJ
2017-12-31,34023,196.0,New Jersey,NJ
2017-12-31,34025,214.0,New Jersey,NJ
2017-12-31,34027,223.0,New Jersey,NJ
2017-12-31,34029,169.0,New Jersey,NJ
2017-12-31,34031,191.0,New Jersey,NJ
2017-12-31,34033,99.0,New Jersey,NJ
2017-12-31,34035,211.0,New Jersey,NJ
2017-12-31,34037,142.0,New Jersey,NJ
2017-12-31,34039,239.0,New Jersey,NJ
2017-12-31,34041,130.0,New Jersey,NJ
