Date,RegionName,ZHVIPerSqft_AllHomes
1996-04-30,36085,110.86592102050781
1996-05-31,36085,110.86592102050781
1996-06-30,36085,110.86592102050781
1996-07-31,36085,110.61114501953125
1996-08-31,36085,110.10608673095703
1996-09-30,36085,110.10608673095703
1996-10-31,36085,110.10608673095703
1996-11-30,36085,110.10608673095703
1996-12-31,36085,109.85395812988281
1997-01-31,36085,109.60308837890625
1997-02-28,36085,110.10608673095703
1997-03-31,36085,110.10608673095703
1997-04-30,36085,110.10608673095703
1997-05-31,36085,110.10608673095703
1997-06-30,36085,110.10608673095703
1997-07-31,36085,110.10608673095703
1997-08-31,36085,110.10608673095703
1997-09-30,36085,110.35941314697266
1997-10-31,36085,110.86592102050781
1997-11-30,36085,111.12188720703125
1997-12-31,36085,111.89046478271484
1998-01-31,36085,112.66511535644531
1998-02-28,36085,113.18199157714844
1998-03-31,36085,113.44578552246094
1998-04-30,36085,113.96607208251953
1998-05-31,36085,114.23243713378906
1998-06-30,36085,114.756103515625
1998-07-31,36085,114.756103515625
1998-08-31,36085,115.02503204345703
1998-09-30,36085,115.55205535888672
1998-10-31,36085,115.82352447509766
1998-11-30,36085,116.3538818359375
1998-12-31,36085,116.62786865234375
1999-01-31,36085,117.1615219116211
1999-02-28,36085,117.4380111694336
1999-03-31,36085,117.97494506835938
1999-04-30,36085,118.25392150878906
1999-05-31,36085,119.35807037353516
1999-06-30,36085,120.73568725585938
1999-07-31,36085,121.57412719726562
1999-08-31,36085,122.4180679321289
1999-09-30,36085,123.56196594238281
1999-10-31,36085,124.98237609863281
1999-11-30,36085,126.1491928100586
1999-12-31,36085,127.90011596679688
2000-01-31,36085,129.67135620117188
2000-02-29,36085,131.4624481201172
2000-03-31,36085,133.27285766601562
2000-04-30,36085,134.77923583984375
2000-05-31,36085,136.0236053466797
2000-06-30,36085,137.8800811767578
2000-07-31,36085,139.4214324951172
2000-08-31,36085,140.6973876953125
2000-09-30,36085,142.2584228515625
2000-10-31,36085,143.21226501464844
2000-11-30,36085,144.17010498046875
2000-12-31,36085,145.4751739501953
2001-01-31,36085,147.06674194335938
2001-02-28,36085,148.38807678222656
2001-03-31,36085,150.3480682373047
2001-04-30,36085,152.3218231201172
2001-05-31,36085,153.9512481689453
2001-06-30,36085,155.3069305419922
2001-07-31,36085,157.31246948242188
2001-08-31,36085,159.32965087890625
2001-09-30,36085,161.35791015625
2001-10-31,36085,163.02743530273438
2001-11-30,36085,164.41973876953125
2001-12-31,36085,166.47303771972656
2002-01-31,36085,168.5353240966797
2002-02-28,36085,170.22933959960938
2002-03-31,36085,171.26666259765625
2002-04-30,36085,172.30589294433594
2002-05-31,36085,173.3469696044922
2002-06-30,36085,174.38980102539062
2002-07-31,36085,175.43429565429688
2002-08-31,36085,176.86231994628906
2002-09-30,36085,178.96063232421875
2002-10-31,36085,181.06443786621094
2002-11-30,36085,183.17315673828125
2002-12-31,36085,185.67379760742188
2003-01-31,36085,188.46286010742188
2003-02-28,36085,190.194580078125
2003-03-31,36085,192.03680419921875
2003-04-30,36085,194.8347625732422
2003-05-31,36085,197.3546600341797
2003-06-30,36085,200.15548706054688
2003-07-31,36085,202.67819213867188
2003-08-31,36085,205.47796630859375
2003-09-30,36085,207.60585021972656
2003-10-31,36085,209.33804321289062
2003-11-30,36085,210.7950897216797
2003-12-31,36085,213.31332397460938
2004-01-31,36085,216.10018920898438
2004-02-29,36085,218.21743774414062
2004-03-31,36085,220.3314208984375
2004-04-30,36085,222.44174194335938
2004-05-31,36085,224.94143676757812
2004-06-30,36085,227.69931030273438
2004-07-31,36085,229.794189453125
2004-08-31,36085,231.8839569091797
2004-09-30,36085,234.35946655273438
2004-10-31,36085,237.47425842285156
2004-11-30,36085,240.57521057128906
2004-12-31,36085,243.66152954101562
2005-01-31,36085,247.11904907226562
2005-02-28,36085,251.18658447265625
2005-03-31,36085,254.8406982421875
2005-04-30,36085,257.8492736816406
2005-05-31,36085,260.8395690917969
2005-06-30,36085,263.81103515625
2005-07-31,36085,266.7633056640625
2005-08-31,36085,269.3204650878906
2005-09-30,36085,271.265625
2005-10-31,36085,273.5751953125
2005-11-30,36085,276.08935546875
2005-12-31,36085,278.0029296875
2006-01-31,36085,279.9073181152344
2006-02-28,36085,281.4341125488281
2006-03-31,36085,282.74658203125
2006-04-30,36085,284.6278381347656
2006-05-31,36085,286.49969482421875
2006-06-30,36085,288.36224365234375
2006-07-31,36085,290.21533203125
2006-08-31,36085,291.6971130371094
2006-09-30,36085,292.61602783203125
2006-10-31,36085,293.17156982421875
2006-11-30,36085,293.17156982421875
2006-12-31,36085,293.17156982421875
2007-01-31,36085,293.17156982421875
2007-02-28,36085,292.81036376953125
2007-03-31,36085,291.89263916015625
2007-04-30,36085,291.3349609375
2007-05-31,36085,291.3349609375
2007-06-30,36085,290.9725341796875
2007-07-31,36085,289.68682861328125
2007-08-31,36085,288.1981201171875
2007-09-30,36085,287.26861572265625
2007-10-31,36085,286.3367614746094
2007-11-30,36085,285.4025573730469
2007-12-31,36085,284.0992126464844
2008-01-31,36085,282.5859375
2008-02-29,36085,281.2738342285156
2008-03-31,36085,279.7483825683594
2008-04-30,36085,278.79791259765625
2008-05-31,36085,277.8450927734375
2008-06-30,36085,276.8900146484375
2008-07-31,36085,275.93267822265625
2008-08-31,36085,274.9729919433594
2008-09-30,36085,274.0110778808594
2008-10-31,36085,273.046875
2008-11-30,36085,272.45452880859375
2008-12-31,36085,272.0804443359375
2009-01-31,36085,271.48638916015625
2009-02-28,36085,271.11175537109375
