Date,RegionName,ZHVIPerSqft_AllHomes
1996-04-30,6053,133.15960693359375
1996-05-31,6053,132.38621520996094
1996-06-30,6053,131.88636779785156
1996-07-31,6053,131.61679077148438
1996-08-31,6053,131.11915588378906
1996-09-30,6053,130.8513641357422
1996-10-31,6053,130.35595703125
1996-11-30,6053,130.622802734375
1996-12-31,6053,131.38778686523438
1997-01-31,6053,131.88636779785156
1997-02-28,6053,131.88636779785156
1997-03-31,6053,132.1567840576172
1997-04-30,6053,132.65756225585938
1997-05-31,6053,132.92974853515625
1997-06-30,6053,133.4327392578125
1997-07-31,6053,133.4327392578125
1997-08-31,6053,133.4327392578125
1997-09-30,6053,133.70669555664062
1997-10-31,6053,134.4875946044922
1997-11-30,6053,134.9949493408203
1997-12-31,6053,134.9949493408203
1998-01-31,6053,135.27244567871094
1998-02-28,6053,135.78196716308594
1998-03-31,6053,136.0612030029297
1998-04-30,6053,136.57289123535156
1998-05-31,6053,136.85386657714844
1998-06-30,6053,137.9339599609375
1998-07-31,6053,138.9689483642578
1998-08-31,6053,138.9689483642578
1998-09-30,6053,139.255126953125
1998-10-31,6053,140.063232421875
1998-11-30,6053,140.8751678466797
1998-12-31,6053,141.98300170898438
1999-01-31,6053,143.62913513183594
1999-02-28,6053,144.9913787841797
1999-03-31,6053,145.8258056640625
1999-04-30,6053,146.9660186767578
1999-05-31,6053,148.6564483642578
1999-06-30,6053,150.67068481445312
1999-07-31,6053,152.94520568847656
1999-08-31,6053,155.0026397705078
1999-09-30,6053,157.32125854492188
1999-10-31,6053,159.095458984375
1999-11-30,6053,161.21096801757812
1999-12-31,6053,164.58798217773438
2000-01-31,6053,168.84153747558594
2000-02-29,6053,172.56622314453125
2000-03-31,6053,176.33770751953125
2000-04-30,6053,179.79800415039062
2000-05-31,6053,182.32568359375
2000-06-30,6053,184.62269592285156
2000-07-31,6053,188.28042602539062
2000-08-31,6053,192.84463500976562
2000-09-30,6053,196.45480346679688
2000-10-31,6053,199.08572387695312
2000-11-30,6053,201.86105346679688
2000-12-31,6053,205.53738403320312
2001-01-31,6053,209.37451171875
2001-02-28,6053,214.13095092773438
2001-03-31,6053,218.2752685546875
2001-04-30,6053,222.0460205078125
2001-05-31,6053,225.184326171875
2001-06-30,6053,228.3340301513672
2001-07-31,6053,231.09152221679688
2001-08-31,6053,233.60658264160156
2001-09-30,6053,236.37698364257812
2001-10-31,6053,238.09152221679688
2001-11-30,6053,238.33966064453125
2001-12-31,6053,237.68533325195312
2002-01-31,6053,237.68533325195312
2002-02-28,6053,238.90447998046875
2002-03-31,6053,242.09375
2002-04-30,6053,245.69943237304688
2002-05-31,6053,249.1497802734375
2002-06-30,6053,251.69955444335938
2002-07-31,6053,254.0862579345703
2002-08-31,6053,255.56997680664062
2002-09-30,6053,258.1269836425781
2002-10-31,6053,261.34539794921875
2002-11-30,6053,264.98101806640625
2002-12-31,6053,268.8619689941406
2003-01-31,6053,271.25213623046875
2003-02-28,6053,272.74237060546875
2003-03-31,6053,274.89019775390625
2003-04-30,6053,277.4544372558594
2003-05-31,6053,280.25762939453125
2003-06-30,6053,282.4031982421875
2003-07-31,6053,285.38189697265625
2003-08-31,6053,289.66668701171875
2003-09-30,6053,294.36138916015625
2003-10-31,6053,300.11279296875
2003-11-30,6053,306.49261474609375
2003-12-31,6053,312.8450927734375
2004-01-31,6053,319.166015625
2004-02-29,6053,325.8636169433594
2004-03-31,6053,333.55572509765625
2004-04-30,6053,341.3985900878906
2004-05-31,6053,349.3614196777344
2004-06-30,6053,358.45501708984375
2004-07-31,6053,367.8287048339844
2004-08-31,6053,376.084716796875
2004-09-30,6053,382.6968994140625
2004-10-31,6053,389.9898681640625
2004-11-30,6053,397.0105285644531
2004-12-31,6053,404.1150207519531
2005-01-31,6053,410.2038269042969
2005-02-28,6053,415.3100891113281
2005-03-31,6053,420.2041320800781
2005-04-30,6053,425.94219970703125
2005-05-31,6053,432.49334716796875
2005-06-30,6053,439.4620666503906
2005-07-31,6053,445.97039794921875
2005-08-31,6053,451.18890380859375
2005-09-30,6053,455.0272216796875
2005-10-31,6053,458.0027160644531
2005-11-30,6053,460.4820861816406
2005-12-31,6053,462.5998229980469
2006-01-31,6053,464.5835266113281
2006-02-28,6053,467.7166442871094
2006-03-31,6053,471.0670471191406
2006-04-30,6053,472.78948974609375
2006-05-31,6053,472.905517578125
2006-06-30,6053,471.7618103027344
2006-07-31,6053,469.46685791015625
2006-08-31,6053,465.5390319824219
2006-09-30,6053,460.6345520019531
2006-10-31,6053,455.6747741699219
2006-11-30,6053,451.0130615234375
2006-12-31,6053,448.2160339355469
2007-01-31,6053,447.72491455078125
2007-02-28,6053,447.0127258300781
2007-03-31,6053,445.3128967285156
2007-04-30,6053,443.2483215332031
2007-05-31,6053,439.9555969238281
2007-06-30,6053,435.2677001953125
2007-07-31,6053,430.020751953125
2007-08-31,6053,425.8192443847656
2007-09-30,6053,424.25531005859375
2007-10-31,6053,424.25531005859375
2007-11-30,6053,422.7789306640625
2007-12-31,6053,418.4494323730469
2008-01-31,6053,410.0096435546875
2008-02-29,6053,395.1230773925781
2008-03-31,6053,375.785888671875
2008-04-30,6053,356.8489685058594
2008-05-31,6053,342.88134765625
2008-06-30,6053,330.94287109375
2008-07-31,6053,320.30780029296875
2008-08-31,6053,311.2591552734375
2008-09-30,6053,302.7903747558594
2008-10-31,6053,293.8597106933594
2008-11-30,6053,285.076904296875
2008-12-31,6053,277.57720947265625
2009-01-31,6053,270.06951904296875
2009-02-28,6053,262.14801025390625
