Date,RegionName,ZHVIPerSqft_AllHomes
1996-04-30,53031,97.62303161621094
1996-05-31,53031,96.56521606445312
1996-06-30,53031,95.28434753417969
1996-07-31,53031,94.52564239501953
1996-08-31,53031,94.02919006347656
1996-09-30,53031,94.02919006347656
1996-10-31,53031,93.77754211425781
1996-11-30,53031,93.287109375
1996-12-31,53031,93.53622436523438
1997-01-31,53031,94.28297424316406
1997-02-28,53031,94.78193664550781
1997-03-31,53031,94.78193664550781
1997-04-30,53031,95.04036712646484
1997-05-31,53031,95.80828094482422
1997-06-30,53031,96.31904602050781
1997-07-31,53031,96.58661651611328
1997-08-31,53031,97.1031723022461
1997-09-30,53031,97.1031723022461
1997-10-31,53031,97.37525177001953
1997-11-30,53031,97.89752960205078
1997-12-31,53031,97.89752960205078
1998-01-31,53031,98.174072265625
1998-02-28,53031,98.98294067382812
1998-03-31,53031,99.51640319824219
1998-04-30,53031,99.51640319824219
1998-05-31,53031,99.80171203613281
1998-06-30,53031,100.34066009521484
1998-07-31,53031,100.6302719116211
1998-08-31,53031,101.46845245361328
1998-09-30,53031,102.01807403564453
1998-10-31,53031,102.31611633300781
1998-11-30,53031,102.87093353271484
1998-12-31,53031,103.17310333251953
1999-01-31,53031,104.03924560546875
1999-02-28,53031,104.29574584960938
1999-03-31,53031,103.42862701416016
1999-04-30,53031,103.17310333251953
1999-05-31,53031,104.03924560546875
1999-06-30,53031,104.60416412353516
1999-07-31,53031,104.60416412353516
1999-08-31,53031,104.91439056396484
1999-09-30,53031,106.1142578125
1999-10-31,53031,107.27027130126953
1999-11-30,53031,107.27027130126953
1999-12-31,53031,106.95018005371094
2000-01-31,53031,106.69097137451172
2000-02-29,53031,107.5920639038086
2000-03-31,53031,108.50143432617188
2000-04-30,53031,109.41890716552734
2000-05-31,53031,110.0115966796875
2000-06-30,53031,110.34429168701172
2000-07-31,53031,110.94120788574219
2000-08-31,53031,110.60658264160156
2000-09-30,53031,110.34429168701172
2000-10-31,53031,111.27738189697266
2000-11-30,53031,112.21798706054688
2000-12-31,53031,113.16590881347656
2001-01-31,53031,113.7748031616211
2001-02-28,53031,113.7748031616211
2001-03-31,53031,113.7748031616211
2001-04-30,53031,114.12093353271484
2001-05-31,53031,114.73358154296875
2001-06-30,53031,114.38568878173828
2001-07-31,53031,114.12093353271484
2001-08-31,53031,115.0828628540039
2001-09-30,53031,115.69912719726562
2001-10-31,53031,115.69912719726562
2001-11-30,53031,115.69912719726562
2001-12-31,53031,115.69912719726562
2002-01-31,53031,116.05148315429688
2002-02-28,53031,116.67124938964844
2002-03-31,53031,117.02658081054688
2002-04-30,53031,118.00794219970703
2002-05-31,53031,118.99534606933594
2002-06-30,53031,119.62483215332031
2002-07-31,53031,120.35350036621094
2002-08-31,53031,122.3616943359375
2002-09-30,53031,123.64169311523438
2002-10-31,53031,123.26893615722656
2002-11-30,53031,122.62969970703125
2002-12-31,53031,123.0010986328125
2003-01-31,53031,123.64169311523438
2003-02-28,53031,124.01545715332031
2003-03-31,53031,125.0345458984375
2003-04-30,53031,126.05813598632812
2003-05-31,53031,127.46720886230469
2003-06-30,53031,129.1537322998047
2003-07-31,53031,130.19313049316406
2003-08-31,53031,131.23593139648438
2003-09-30,53031,132.28192138671875
2003-10-31,53031,133.3308563232422
2003-11-30,53031,134.38255310058594
2003-12-31,53031,135.831298828125
2004-01-31,53031,137.552001953125
2004-02-29,53031,139.01071166992188
2004-03-31,53031,141.13876342773438
2004-04-30,53031,143.27169799804688
2004-05-31,53031,145.00473022460938
2004-06-30,53031,146.88088989257812
2004-07-31,53031,149.68453979492188
2004-08-31,53031,151.82199096679688
2004-09-30,53031,153.9571075439453
2004-10-31,53031,156.08856201171875
2004-11-30,53031,158.62115478515625
2004-12-31,53031,161.7988739013672
2005-01-31,53031,164.9591064453125
2005-02-28,53031,168.50112915039062
2005-03-31,53031,172.24740600585938
2005-04-30,53031,175.7255401611328
2005-05-31,53031,179.3890838623047
2005-06-30,53031,182.39834594726562
2005-07-31,53031,184.98504638671875
2005-08-31,53031,186.95193481445312
2005-09-30,53031,188.90322875976562
2005-10-31,53031,191.2218475341797
2005-11-30,53031,193.71148681640625
2005-12-31,53031,195.60626220703125
2006-01-31,53031,197.1084442138672
2006-02-28,53031,197.66700744628906
2006-03-31,53031,197.66700744628906
2006-04-30,53031,197.66700744628906
2006-05-31,53031,197.66700744628906
2006-06-30,53031,197.66700744628906
2006-07-31,53031,197.66700744628906
2006-08-31,53031,198.04244995117188
2006-09-30,53031,199.34616088867188
2006-10-31,53031,200.8194580078125
2006-11-30,53031,202.1072998046875
2006-12-31,53031,203.92715454101562
2007-01-31,53031,204.9977264404297
2007-02-28,53031,204.9977264404297
2007-03-31,53031,204.9977264404297
2007-04-30,53031,205.36424255371094
2007-05-31,53031,205.895263671875
2007-06-30,53031,205.5294189453125
2007-07-31,53031,204.9977264404297
2007-08-31,53031,205.36424255371094
2007-09-30,53031,206.2606658935547
2007-10-31,53031,206.78866577148438
2007-11-30,53031,206.78866577148438
2007-12-31,53031,207.1529541015625
2008-01-31,53031,208.04107666015625
2008-02-29,53031,208.56298828125
2008-03-31,53031,208.56298828125
2008-04-30,53031,208.56298828125
2008-05-31,53031,207.83750915527344
2008-06-30,53031,206.05874633789062
2008-07-31,53031,204.63075256347656
2008-08-31,53031,204.09600830078125
2008-09-30,53031,203.7279052734375
2008-10-31,53031,202.82089233398438
2008-11-30,53031,202.28004455566406
2008-12-31,53031,202.28004455566406
2009-01-31,53031,202.28004455566406
